layer,block_size,target_sparsity,mask_type,local_blocks,local_budget_overflow_rate,actual_tile_sparsity,attention_tile_work_fraction,kept_attention_mass_mean,kept_attention_mass_p50,kept_attention_mass_p90,dropped_attention_mass_mean,output_l2_relative_mean,output_l2_relative_p90,output_cosine_mean,output_cosine_p10,prob_l1_mean,prob_kl_mean,token_mask_sparsity,quality_pass,strong_quality_pass
12,16,0.5,local_plus_oracle,2,1.0,0.4829545454545454,0.5170454545454546,0.9104264378547668,0.9611803293228149,0.9997092485427856,0.08957359939813614,0.12075694650411606,0.26403531432151794,0.9863821268081665,0.9771085381507874,0.17914719879627228,1.979341745376587,0.748046875,True,False
12,16,0.5,local_plus_oracle,4,1.0,0.4734848484848485,0.5265151515151515,0.9118489623069763,0.9640984535217285,0.9999999403953552,0.08815101534128189,0.12563958764076233,0.2845485210418701,0.9899202585220337,0.9817478060722351,0.17630203068256378,1.983324408531189,0.7431640625,True,False
12,16,0.6,random,0,0.0,0.6025432900432901,0.39745670995670995,0.3806295394897461,0.32654428482055664,0.8722415566444397,0.6193704605102539,0.7279216051101685,1.2439311742782593,0.7113327980041504,0.044100914150476456,1.180705189704895,15.13340950012207,0.8009469168526786,False,False
12,16,0.6,mean_pooled_score,0,0.0,0.6363636363636364,0.36363636363636365,0.6485456228256226,0.7012687921524048,0.9897204637527466,0.35145440697669983,0.532914400100708,1.1883699893951416,0.9019126296043396,0.7643741965293884,0.6404088139533997,8.575288772583008,0.8253173828125,False,False
12,16,0.6,oracle_block_mass,0,0.0,0.5757575757575757,0.42424242424242425,0.8966051936149597,0.9367460012435913,0.999133825302124,0.10339484363794327,0.12097810953855515,0.32664862275123596,0.9825754165649414,0.9597454071044922,0.20678968727588654,2.221113920211792,0.7932172502790178,False,False
12,16,0.6,local_window,1,0.0,0.3977272727272727,0.6022727272727273,0.8371958136558533,0.9180500507354736,1.0,0.16280415654182434,0.2632672190666199,0.8145266175270081,0.9923604130744934,0.9806209802627563,0.3256083130836487,3.9987053871154785,0.7041015625,False,False
12,16,0.6,local_window,2,0.0,0.3977272727272727,0.6022727272727273,0.8371958136558533,0.9180500507354736,1.0,0.16280415654182434,0.2632672190666199,0.8145266175270081,0.9923604130744934,0.9806209802627563,0.3256083130836487,3.9987053871154785,0.7041015625,False,False
12,16,0.6,local_window,4,0.0,0.3977272727272727,0.6022727272727273,0.8371958136558533,0.9180500507354736,1.0,0.16280415654182434,0.2632672190666199,0.8145266175270081,0.9923604130744934,0.9806209802627563,0.3256083130836487,3.9987053871154785,0.7041015625,False,False
12,16,0.6,local_plus_score,1,1.0,0.5757575757575757,0.42424242424242425,0.7454015016555786,0.7912505269050598,0.9984139800071716,0.2545984387397766,0.42377686500549316,1.0810964107513428,0.9713912010192871,0.9325563907623291,0.5091968774795532,6.153244972229004,0.7958984375,False,False
12,16,0.6,local_plus_score,2,1.0,0.5738636363636364,0.42613636363636365,0.7470213174819946,0.7932607531547546,0.9993318915367126,0.25297868251800537,0.4144856929779053,1.0665569305419922,0.9740549325942993,0.942452073097229,0.5059573650360107,6.119266986846924,0.794921875,False,False
12,16,0.6,local_plus_score,4,1.0,0.5606060606060606,0.4393939393939394,0.7716922760009766,0.8247635364532471,0.9999999403953552,0.22830775380134583,0.3780495226383209,0.9987231492996216,0.9819734692573547,0.9605311155319214,0.45661550760269165,5.527529716491699,0.7880859375,False,False
12,16,0.6,local_plus_oracle,1,1.0,0.5757575757575757,0.42424242424242425,0.8785563707351685,0.9347989559173584,0.999133825302124,0.12144362181425095,0.16291563212871552,0.3648500442504883,0.9771609902381897,0.9489491581916809,0.2428872436285019,2.6757867336273193,0.7958984375,False,False
12,16,0.6,local_plus_oracle,2,1.0,0.5738636363636364,0.42613636363636365,0.8756737112998962,0.9375576972961426,0.9995236992835999,0.12432622909545898,0.1635611355304718,0.3846987783908844,0.980793833732605,0.957443118095398,0.24865245819091797,2.7642767429351807,0.794921875,False,False
12,16,0.6,local_plus_oracle,4,1.0,0.5606060606060606,0.4393939393939394,0.8731155395507812,0.9391287565231323,0.9999999403953552,0.12688443064689636,0.18379323184490204,0.4089527726173401,0.9860482215881348,0.9696581363677979,0.2537688612937927,2.885289430618286,0.7880859375,False,False
12,16,0.7,random,0,0.0,0.7010281385281385,0.29897186147186144,0.2871796488761902,0.1999836564064026,0.7511883974075317,0.7128204107284546,0.8291626572608948,1.2875205278396606,0.6397482752799988,0.0,1.327426552772522,17.459674835205078,0.8500932965959822,False,False
12,16,0.7,mean_pooled_score,0,0.0,0.7329545454545454,0.26704545454545453,0.5795043706893921,0.6156620979309082,0.966880202293396,0.4204956591129303,0.6163902282714844,1.2636302709579468,0.8659078478813171,0.43489179015159607,0.7472413778305054,10.223608016967773,0.8743700299944197,False,False
12,16,0.7,oracle_block_mass,0,0.0,0.6723484848484849,0.32765151515151514,0.8490275144577026,0.8908343315124512,0.9984082579612732,0.15097253024578094,0.17152680456638336,0.43312376737594604,0.9706467390060425,0.9308556318283081,0.3019450604915619,3.287545919418335,0.8424660818917411,False,False
12,16,0.7,local_window,1,0.0,0.5227272727272727,0.4772727272727273,0.7961367964744568,0.8727406859397888,1.0,0.20386318862438202,0.31975701451301575,0.9093750715255737,0.9900223612785339,0.9740992188453674,0.40772637724876404,4.960658073425293,0.7685546875,False,False
12,16,0.7,local_window,2,0.0,0.5227272727272727,0.4772727272727273,0.7961367964744568,0.8727406859397888,1.0,0.20386318862438202,0.31975701451301575,0.9093750715255737,0.9900223612785339,0.9740992188453674,0.40772637724876404,4.960658073425293,0.7685546875,False,False
12,16,0.7,local_window,4,0.0,0.5227272727272727,0.4772727272727273,0.7961367964744568,0.8727406859397888,1.0,0.20386318862438202,0.31975701451301575,0.9093750715255737,0.9900223612785339,0.9740992188453674,0.40772637724876404,4.960658073425293,0.7685546875,False,False
12,16,0.7,local_plus_score,1,1.0,0.6723484848484849,0.32765151515151514,0.6819942593574524,0.7215071320533752,0.9968883991241455,0.31800577044487,0.5284241437911987,1.3305962085723877,0.9585505723953247,0.8988158106803894,0.6360114812850952,7.663517951965332,0.845703125,False,False
12,16,0.7,local_plus_score,2,1.0,0.6685606060606061,0.3314393939393939,0.6987429261207581,0.7348172664642334,0.9987665414810181,0.30125704407691956,0.4802949130535126,1.182955026626587,0.9684463143348694,0.922048032283783,0.6025140881538391,7.246461391448975,0.84375,False,False
12,16,0.7,local_plus_score,4,1.0,0.6477272727272727,0.3522727272727273,0.7308470010757446,0.7745077610015869,0.9999999403953552,0.269152969121933,0.4280359148979187,1.1014046669006348,0.9788727760314941,0.9505661725997925,0.5383060574531555,6.472346782684326,0.8330078125,False,False
12,16,0.7,local_plus_oracle,1,1.0,0.6723484848484849,0.32765151515151514,0.8210225105285645,0.8875926733016968,0.9984082579612732,0.17897748947143555,0.24476073682308197,0.52228844165802,0.9613808393478394,0.9080552458763123,0.35795503854751587,3.9984474182128906,0.845703125,False,False
12,16,0.7,local_plus_oracle,2,1.0,0.6685606060606061,0.3314393939393939,0.8291286826133728,0.893649697303772,0.9991466403007507,0.17087134718894958,0.21517586708068848,0.49881604313850403,0.9729132056236267,0.931622326374054,0.34174269437789917,3.815077543258667,0.84375,False,False
12,16,0.7,local_plus_oracle,4,1.0,0.6477272727272727,0.3522727272727273,0.824491024017334,0.89433753490448,0.9999999403953552,0.1755090057849884,0.2512490451335907,0.6236208081245422,0.9809554815292358,0.9494870901107788,0.3510180115699768,4.011758327484131,0.8330078125,False,False
23,16,0.0,dense,0,0.0,0.0,1.0,1.0,1.0,1.0000001192092896,4.6399821762577176e-09,0.0,0.0,1.0,0.9999998807907104,0.0,0.0,0.4990234375,True,True
