layer,certificate_name,group_size,certificate_type,violations,exact_match_rate,refinement_rate,bound_p50,bound_p90,bound_p99,stable_inflation_p50,stable_inflation_p90,stable_inflation_p99,near_zero_margin_rate,naive_mismatch_rate,oracle_crossing_rate,margin_floor,error_floor,refinement_reduction_vs_global
13,group_l2_actual_g8,8,actual,0,1.0,0.16775412087912087,0.7460798621177673,0.907687783241272,1.0342140197753906,13.573156356811523,71.84696197509766,711.2429809570312,0.0307692289352417,0.020913461538461537,0.020913461538461537,3.735511779785156e-06,5.381584167480468e-08,0.4971175622812436
13,group_l2_analytic_g8,8,analytic,0,1.0,0.2903159340659341,1.333201289176941,1.6118558645248413,1.8075323104858398,24.260509490966797,128.90371704101562,1252.1988525390625,0.0307692289352417,0.020913461538461537,0.020913461538461537,3.735511779785156e-06,5.381584167480468e-08,0.12970969734403937
13,group_l2_actual_g4,4,actual,0,1.0,0.15614697802197802,0.683841347694397,0.8354703187942505,0.9614080190658569,12.404869079589844,66.15303039550781,661.7362670898438,0.0307692289352417,0.020913461538461537,0.020913461538461537,3.735511779785156e-06,5.381584167480468e-08,0.5319127033148033
13,group_l2_analytic_g4,4,analytic,0,1.0,0.2737637362637363,1.2443568706512451,1.5100218057632446,1.6919262409210205,22.618820190429688,120.58716583251953,1170.6649169921875,0.0307692289352417,0.020913461538461537,0.020913461538461537,3.735511779785156e-06,5.381584167480468e-08,0.1793288037883466
13,coordinate_actual,1,actual,0,1.0,0.11751373626373626,0.4833917021751404,0.5948737859725952,0.6985374093055725,8.789551734924316,46.56087875366211,467.3414001464844,0.0307692289352417,0.020913461538461537,0.020913461538461537,3.735511779785156e-06,5.381584167480468e-08,0.6477249330862672
13,coordinate_analytic,1,analytic,0,1.0,0.2251717032967033,1.0193908214569092,1.2462795972824097,1.3862227201461792,18.612350463867188,99.16190338134766,976.0492553710938,0.0307692289352417,0.020913461538461537,0.020913461538461537,3.735511779785156e-06,5.381584167480468e-08,0.3249948527897879
23,global_l2_actual,N/A,actual,0,1.0,0.1676510989010989,0.3271546959877014,0.6711625456809998,1.185927391052246,16.472806930541992,89.52333068847656,904.1087646484375,0.0307692289352417,0.019539835164835165,0.019539835164835165,2.610739231109619e-06,2.0965099334716796e-08,0.3813204916994044
23,global_l2_analytic,N/A,analytic,0,1.0,0.27098214285714284,0.5744152069091797,1.1731096506118774,2.0619547367095947,28.944408416748047,158.1831512451172,1601.730224609375,0.0307692289352417,0.019539835164835165,0.019539835164835165,2.610739231109619e-06,2.0965099334716796e-08,0.0
23,group_l2_actual_g32,32,actual,0,1.0,0.16641483516483516,0.32257387042045593,0.6669504642486572,1.1769331693649292,16.33037567138672,88.80581665039062,902.8755493164062,0.0307692289352417,0.019539835164835165,0.019539835164835165,2.610739231109619e-06,2.0965099334716796e-08,0.38588265112153086
23,group_l2_analytic_g32,32,analytic,0,1.0,0.26988324175824174,0.5668922662734985,1.168217420578003,2.051424026489258,28.73741340637207,157.13577270507812,1594.6397705078125,0.0307692289352417,0.019539835164835165,0.019539835164835165,2.610739231109619e-06,2.0965099334716796e-08,0.004055252819668009
23,group_l2_actual_g16,16,actual,0,1.0,0.1509958791208791,0.28213435411453247,0.6264103055000305,1.1084628105163574,14.383718490600586,78.10729217529297,790.558837890625,0.0307692289352417,0.019539835164835165,0.019539835164835165,2.610739231109619e-06,2.0965099334716796e-08,0.4427829172474972
23,group_l2_analytic_g16,16,analytic,0,1.0,0.24429945054945054,0.49893081188201904,1.0993634462356567,1.9350277185440063,25.615413665771484,139.17062377929688,1414.273681640625,0.0307692289352417,0.019539835164835165,0.019539835164835165,2.610739231109619e-06,2.0965099334716796e-08,0.09846660752756298
23,group_l2_actual_g8,8,actual,0,1.0,0.14385302197802197,0.2649334669113159,0.6016762852668762,1.0683966875076294,13.573793411254883,73.46691131591797,740.02978515625,0.0307692289352417,0.019539835164835165,0.019539835164835165,2.610739231109619e-06,2.0965099334716796e-08,0.469142060575339
23,group_l2_analytic_g8,8,analytic,0,1.0,0.23434065934065934,0.47382763028144836,1.0629730224609375,1.878794550895691,24.383411407470703,132.4511260986328,1327.1812744140625,0.0307692289352417,0.019539835164835165,0.019539835164835165,2.610739231109619e-06,2.0965099334716796e-08,0.135217336205804
23,group_l2_actual_g4,4,actual,0,1.0,0.13440934065934065,0.24321343004703522,0.5514528155326843,0.983490526676178,12.534830093383789,67.7822036743164,684.4617309570312,0.0307692289352417,0.019539835164835165,0.019539835164835165,2.610739231109619e-06,2.0965099334716796e-08,0.5039918894943607
23,group_l2_analytic_g4,4,analytic,0,1.0,0.22057005494505494,0.4440646469593048,0.9778391122817993,1.7368696928024292,22.80890655517578,124.50045776367188,1258.5948486328125,0.0307692289352417,0.019539835164835165,0.019539835164835165,2.610739231109619e-06,2.0965099334716796e-08,0.18603472310226843
23,coordinate_actual,1,actual,0,1.0,0.10463598901098901,0.180516317486763,0.3929509222507477,0.7160255312919617,9.198994636535645,49.666648864746094,505.96881103515625,0.0307692289352417,0.019539835164835165,0.019539835164835165,2.610739231109619e-06,2.0965099334716796e-08,0.6138638955772399
23,coordinate_analytic,1,analytic,0,1.0,0.18684752747252747,0.373623251914978,0.7738853693008423,1.3930631875991821,19.036373138427734,104.03794860839844,1064.96142578125,0.0307692289352417,0.019539835164835165,0.019539835164835165,2.610739231109619e-06,2.0965099334716796e-08,0.3104802940058293
