layer,block_size,target_sparsity,mask_type,oracle_gap_mass,oracle_gap_l2
12,16,0.6,random,0.5159756541252136,0.6069434955716133
12,16,0.6,mean_pooled_score,0.24805957078933716,0.41193629056215286
12,16,0.6,oracle_block_mass,0.0,0.0
12,16,0.6,local_window,0.059409379959106445,0.14228910952806473
12,16,0.6,landmark,0.16277742385864258,0.32691267877817154
12,16,0.6,landmark,0.161854088306427,0.32069510966539383
12,16,0.6,landmark,0.1485005021095276,0.3009018674492836
12,16,0.6,landmark,0.15257316827774048,0.3104855790734291
12,16,0.6,local_plus_landmark,0.1660555601119995,0.33282018452882767
12,16,0.6,local_plus_landmark,0.1670980453491211,0.3358231261372566
12,16,0.6,local_plus_landmark,0.1544971466064453,0.3109753206372261
12,16,0.6,local_plus_landmark,0.15797048807144165,0.3207295909523964
12,16,0.6,local_plus_landmark,0.1620248556137085,0.3181426301598549
12,16,0.6,local_plus_landmark,0.16272789239883423,0.32022545486688614
12,16,0.6,local_plus_landmark,0.14711099863052368,0.29003677517175674
12,16,0.6,local_plus_landmark,0.1513817310333252,0.3000219836831093
12,16,0.6,aglr_adaptive_m0.90,0.1256411075592041,0.28413382917642593
12,16,0.6,aglr_adaptive_m0.90,0.09452110528945923,0.21525952965021133
12,16,0.6,aglr_adaptive_m0.90,0.12260603904724121,0.28117934614419937
12,16,0.6,aglr_adaptive_m0.90,0.09410840272903442,0.2133859172463417
12,16,0.6,aglr_adaptive_m0.90,0.11465799808502197,0.2679559662938118
12,16,0.6,aglr_adaptive_m0.90,0.08120417594909668,0.19159431010484695
12,16,0.6,aglr_adaptive_m0.90,0.11140692234039307,0.2691432908177376
12,16,0.6,aglr_adaptive_m0.90,0.0843082070350647,0.20118770748376846
12,16,0.6,aglr_adaptive_m0.95,0.11890751123428345,0.2769467905163765
12,16,0.6,aglr_adaptive_m0.95,0.09347110986709595,0.21462760120630264
12,16,0.6,aglr_adaptive_m0.95,0.11807668209075928,0.27698684483766556
12,16,0.6,aglr_adaptive_m0.95,0.0940367579460144,0.21335387974977493
12,16,0.6,aglr_adaptive_m0.95,0.10548794269561768,0.25743476301431656
12,16,0.6,aglr_adaptive_m0.95,0.08013635873794556,0.19067994505167007
12,16,0.6,aglr_adaptive_m0.95,0.10760706663131714,0.2653699591755867
12,16,0.6,aglr_adaptive_m0.95,0.0843082070350647,0.20118770748376846
23,16,0.4,random,0.3280675411224365,0.3242671340703964
23,16,0.4,mean_pooled_score,0.13236981630325317,0.15389610826969147
23,16,0.4,oracle_block_mass,0.0,0.0
23,16,0.4,local_window,0.03542935848236084,0.05234751105308533
23,16,0.4,landmark,0.050541698932647705,0.05640828609466553
23,16,0.4,landmark,0.05130267143249512,0.05698385834693909
23,16,0.4,landmark,0.06618672609329224,0.08168379962444305
23,16,0.4,landmark,0.06225711107254028,0.07601472735404968
23,16,0.4,local_plus_landmark,0.05563783645629883,0.06270092725753784
23,16,0.4,local_plus_landmark,0.054789185523986816,0.06180700659751892
23,16,0.4,local_plus_landmark,0.07557928562164307,0.09586405754089355
23,16,0.4,local_plus_landmark,0.06998646259307861,0.08734148740768433
23,16,0.4,local_plus_landmark,0.06783586740493774,0.08395686745643616
23,16,0.4,local_plus_landmark,0.06539708375930786,0.07824867963790894
23,16,0.4,local_plus_landmark,0.08981549739837646,0.11722436547279358
23,16,0.4,local_plus_landmark,0.0824284553527832,0.10520420968532562
23,16,0.4,aglr_adaptive_m0.90,0.1504630446434021,0.19516880810260773
23,16,0.4,aglr_adaptive_m0.90,0.1298733949661255,0.16578830778598785
23,16,0.4,aglr_adaptive_m0.90,0.13416248559951782,0.17189960181713104
23,16,0.4,aglr_adaptive_m0.90,0.11831212043762207,0.14652971923351288
23,16,0.4,aglr_adaptive_m0.90,0.20193129777908325,0.25840650498867035
23,16,0.4,aglr_adaptive_m0.90,0.18182462453842163,0.22333692014217377
23,16,0.4,aglr_adaptive_m0.90,0.1594831943511963,0.20515872538089752
23,16,0.4,aglr_adaptive_m0.90,0.14376622438430786,0.18111218512058258
23,16,0.4,aglr_adaptive_m0.95,0.13313531875610352,0.17252935469150543
23,16,0.4,aglr_adaptive_m0.95,0.12008142471313477,0.15295256674289703
23,16,0.4,aglr_adaptive_m0.95,0.12510621547698975,0.15862645208835602
23,16,0.4,aglr_adaptive_m0.95,0.11324214935302734,0.1388653814792633
23,16,0.4,aglr_adaptive_m0.95,0.16886597871780396,0.21593116223812103
23,16,0.4,aglr_adaptive_m0.95,0.15470737218856812,0.19211708009243011
23,16,0.4,aglr_adaptive_m0.95,0.14366227388381958,0.18391527235507965
23,16,0.4,aglr_adaptive_m0.95,0.13214647769927979,0.1673337072134018
23,16,0.5,random,0.3656146228313446,0.35424254834651947
23,16,0.5,mean_pooled_score,0.15656936168670654,0.1936483532190323
23,16,0.5,oracle_block_mass,0.0,0.0
23,16,0.5,local_window,0.065696120262146,0.053760141134262085
23,16,0.5,landmark,0.0809715986251831,0.11385880410671234
23,16,0.5,landmark,0.07449275255203247,0.10160218179225922
23,16,0.5,landmark,0.0965697169303894,0.13178707659244537
23,16,0.5,landmark,0.08960229158401489,0.12524278461933136
23,16,0.5,local_plus_landmark,0.08943188190460205,0.125254288315773
23,16,0.5,local_plus_landmark,0.08403986692428589,0.11516763269901276
