layer,block_size,target_sparsity,mask_type,local_blocks,landmark_method,num_landmarks,score_method,local_budget_overflow_rate,oracle_gap_mass,oracle_gap_l2,actual_tile_sparsity,attention_tile_work_fraction,kept_attention_mass_mean,kept_attention_mass_p50,kept_attention_mass_p90,dropped_attention_mass_mean,output_l2_relative_mean,output_l2_relative_p90,output_cosine_mean,output_cosine_p10,prob_l1_mean,prob_kl_mean,token_mask_sparsity,quality_pass,strong_quality_pass
12,16,0.4,aglr_adaptive_m0.95,1,mean_plus_topk_norm,2,hybrid,0.9955357142857143,0.16907721757888794,0.3351074680685997,0.42248376623376627,0.5775162337662337,0.7889981269836426,0.8734275102615356,0.9991021752357483,0.21100187301635742,0.38634806871414185,1.1561979055404663,0.9671280980110168,0.9355999827384949,0.42200374603271484,5.164084434509277,0.7168666294642857,False,False
12,16,0.4,aglr_adaptive_m0.95,2,mean_plus_topk_norm,2,hybrid,1.0,0.1457783579826355,0.27092521637678146,0.4185606060606061,0.5814393939393939,0.812296986579895,0.8887700438499451,0.9995980858802795,0.18770292401313782,0.3221658170223236,0.9532514214515686,0.978751540184021,0.9583691358566284,0.37540584802627563,4.57578706741333,0.71484375,False,False
12,16,0.5,random,0,none,0,none,0.0,0.4445513188838959,0.5255269184708595,0.5047348484848485,0.4952651515151515,0.48054131865501404,0.47274619340896606,0.936265766620636,0.5194586515426636,0.617184579372406,1.146591067314148,0.7809922099113464,0.19866493344306946,1.0054352283477783,12.661639213562012,0.7518877301897322,False,False
12,16,0.5,mean_pooled_score,0,none,0,none,0.0,0.22847580909729004,0.36866433173418045,0.5454545454545454,0.45454545454545453,0.6966168284416199,0.7645955085754395,0.995994508266449,0.3033831715583801,0.46032199263572693,1.0341315269470215,0.9107884168624878,0.8202729821205139,0.5442663431167603,7.441166877746582,0.7787039620535714,False,False
12,16,0.5,oracle_block_mass,0,none,0,none,0.0,0.0,0.0,0.48484848484848486,0.5151515151515151,0.9250926375389099,0.9589596390724182,0.9994905591011047,0.07490731030702591,0.09165766090154648,0.24149882793426514,0.9873741865158081,0.9766491651535034,0.14981462061405182,1.5988060235977173,0.7465711321149553,False,False
12,16,0.5,local_window,0,none,0,none,0.0,0.04926443099975586,0.11315586417913437,0.25757575757575757,0.7424242424242424,0.875828206539154,0.99824458360672,1.0000001192092896,0.12417177855968475,0.20481352508068085,0.6855531334877014,0.993928074836731,0.9861361384391785,0.2483435571193695,3.0799710750579834,0.6318359375,False,False
12,16,0.5,landmark,0,mean_plus_max_norm,2,max,0.0,0.14623034000396729,0.28730661422014236,0.48484848484848486,0.5151515151515151,0.7788622975349426,0.834526538848877,0.9987266659736633,0.22113776206970215,0.37896427512168884,1.0076568126678467,0.9731367230415344,0.9461249113082886,0.4422755241394043,5.377842903137207,0.7487291608537947,False,False
12,16,0.5,landmark,0,mean_plus_max_norm,2,hybrid,0.0,0.15229207277297974,0.2950996235013008,0.48484848484848486,0.5151515151515151,0.7728005647659302,0.8275681734085083,0.9986878633499146,0.22719934582710266,0.3867572844028473,1.022438883781433,0.974164605140686,0.9450082182884216,0.4543986916542053,5.533303260803223,0.7487945556640625,False,False
12,16,0.5,landmark,0,mean_plus_topk_norm,2,max,0.0,0.13317787647247314,0.2635229304432869,0.48484848484848486,0.5151515151515151,0.7919147610664368,0.8552440404891968,0.9986016154289246,0.208085298538208,0.3551805913448334,0.9585478901863098,0.9749462008476257,0.9479705691337585,0.416170597076416,5.042492866516113,0.7487291608537947,False,False
12,16,0.5,landmark,0,mean_plus_topk_norm,2,hybrid,0.0,0.13715600967407227,0.273541159927845,0.48484848484848486,0.5151515151515151,0.7879366278648376,0.8523613810539246,0.9988275170326233,0.21206335723400116,0.3651988208293915,0.9956133365631104,0.9745181798934937,0.9478525519371033,0.42412668466567993,5.151744365692139,0.7488272530691964,False,False
12,16,0.5,local_plus_landmark,1,mean_plus_max_norm,2,max,0.0625,0.14932942390441895,0.2933008745312691,0.48484848484848486,0.5151515151515151,0.775763213634491,0.8322452902793884,0.9987266659736633,0.22423677146434784,0.38495853543281555,1.0282526016235352,0.9739011526107788,0.9451723098754883,0.4484735429286957,5.455463886260986,0.7490234375,False,False
12,16,0.5,local_plus_landmark,1,mean_plus_max_norm,2,hybrid,0.0625,0.15722984075546265,0.3100886717438698,0.48484848484848486,0.5151515151515151,0.7678627967834473,0.8243972063064575,0.9986878633499146,0.23213718831539154,0.40174633264541626,1.0698083639144897,0.9731102585792542,0.942883312702179,0.4642743766307831,5.662112236022949,0.7490234375,False,False
12,16,0.5,local_plus_landmark,1,mean_plus_topk_norm,2,max,0.0625,0.13858705759048462,0.2731829956173897,0.48484848484848486,0.5151515151515151,0.7865055799484253,0.8526135087013245,0.9986016154289246,0.2134944200515747,0.36484065651893616,1.0093523263931274,0.973603367805481,0.9459506273269653,0.4269888401031494,5.179833889007568,0.7490234375,False,False
12,16,0.5,local_plus_landmark,1,mean_plus_topk_norm,2,hybrid,0.0625,0.1423046588897705,0.2831918075680733,0.48484848484848486,0.5151515151515151,0.7827879786491394,0.8502572774887085,0.9988275170326233,0.21721196174621582,0.37484946846961975,1.0489698648452759,0.973066508769989,0.9454962015151978,0.43442392349243164,5.282769680023193,0.7490234375,False,False
12,16,0.5,local_plus_landmark,2,mean_plus_max_norm,2,max,0.125,0.1446617841720581,0.2764427438378334,0.4829545454545454,0.5170454545454546,0.7804308533668518,0.8373676538467407,0.999396562576294,0.2195691615343094,0.3681004047393799,0.9972982406616211,0.9774497747421265,0.9515170454978943,0.4391383230686188,5.34246826171875,0.748046875,False,False
12,16,0.5,local_plus_landmark,2,mean_plus_max_norm,2,hybrid,0.125,0.15010970830917358,0.28786570578813553,0.4829545454545454,0.5170454545454546,0.7749829292297363,0.8321801424026489,0.9994204044342041,0.22501711547374725,0.379523366689682,1.0112581253051758,0.9771538972854614,0.9504326581954956,0.4500342309474945,5.485463619232178,0.748046875,False,False
12,16,0.5,local_plus_landmark,2,mean_plus_topk_norm,2,max,0.125,0.13096249103546143,0.2484826222062111,0.4829545454545454,0.5170454545454546,0.7941301465034485,0.8614300489425659,0.9992749094963074,0.2058699131011963,0.34014028310775757,0.9532514214515686,0.9782432317733765,0.955028235912323,0.4117398262023926,4.988667964935303,0.748046875,False,False
