layer,strategy_name,group_size,valid_tiles,actual_sparsity,naive_mismatch_rate,false_drop_rate,false_keep_rate,certificate_violations,certimask_exact_match_rate,analytic_refinement_rate,actual_refinement_rate,score_error_p50,score_error_p90,score_error_p99,bound_p50,bound_p90,bound_p99,rho_p50,rho_p90,rho_p99,rho_max,score_std,abs_score_p50,abs_score_p90,abs_score_p99
2,k_only_per_group_g8_coordinate_analytic,8,29120,0.8658653846153846,0.018990384615384614,0.0037431318681318683,0.015247252747252747,0,1.0,0.09927884615384615,0.09927884615384615,0.03669261932373047,0.09959257394075394,0.17804858088493347,0.3480690121650696,0.4518134891986847,0.5154241919517517,8.175609588623047,39.26079559326172,392.99261474609375,241052.046875,12.471944808959961,20.801536560058594,44.86406707763672,50.9694938659668
2,k_only_per_group_g4_coordinate_analytic,4,29120,0.8658653846153846,0.01771978021978022,0.0020260989010989013,0.01569368131868132,0,1.0,0.08705357142857142,0.08705357142857142,0.01917266845703125,0.090936079621315,0.1407696008682251,0.2815368175506592,0.3828721046447754,0.43517690896987915,11.588248252868652,67.81249237060547,640.0964965820312,96829.5625,12.471944808959961,20.801536560058594,44.86406707763672,50.9694938659668
2,k_only_per_vector_coordinate_analytic,0,29120,0.8658653846153846,0.024210164835164836,0.005872252747252747,0.01833791208791209,0,1.0,0.403228021978022,0.403228021978022,0.07557392120361328,0.2020980417728424,0.3641408681869507,1.5693457126617432,2.228532552719116,2.352205276489258,19.99761390686035,104.36898803710938,1017.9190673828125,531576.25,12.471944808959961,20.801536560058594,44.86406707763672,50.9694938659668
2,qk_per_group_g4_coordinate_analytic,4,29120,0.8658653846153846,0.01868131868131868,0.002197802197802198,0.016483516483516484,0,1.0,0.1490728021978022,0.1490728021978022,0.022518157958984375,0.1225397139787674,0.2117404341697693,0.5780226588249207,0.8045448660850525,0.8746886849403381,19.275081634521484,108.96672058105469,1053.5177001953125,703225856000.0,12.471944808959961,20.801536560058594,44.86406707763672,50.9694938659668
3,k_only_per_group_g16_coordinate_analytic,16,29120,0.8658653846153846,0.015350274725274725,0.0007898351648351648,0.01456043956043956,0,1.0,0.0902815934065934,0.0902815934065934,0.01316976547241211,0.03434703126549721,0.06784319132566452,0.221336230635643,0.2786216139793396,0.35215067863464355,16.554183959960938,89.73948669433594,804.694091796875,268913.6875,11.93785285949707,11.831640243530273,16.335033416748047,19.96959686279297
3,k_only_per_group_g8_coordinate_analytic,8,29120,0.8658653846153846,0.015796703296703296,0.0006524725274725274,0.01514423076923077,0,1.0,0.07441620879120879,0.07441620879120879,0.009157180786132812,0.027879714965820312,0.05878766253590584,0.16615736484527588,0.19645334780216217,0.2577669620513916,17.398412704467773,96.93679809570312,1022.4561767578125,189214.75,11.93785285949707,11.831640243530273,16.335033416748047,19.96959686279297
3,k_only_per_group_g4_coordinate_analytic,4,29120,0.8658653846153846,0.01514423076923077,0.00034340659340659343,0.014800824175824175,0,1.0,0.06559065934065934,0.06559065934065934,0.007194042205810547,0.022599922493100166,0.04970856383442879,0.13497865200042725,0.16611596941947937,0.22003379464149475,18.30927276611328,103.68829345703125,1067.13330078125,116187029504.0,11.93785285949707,11.831640243530273,16.335033416748047,19.96959686279297
3,k_only_per_vector_coordinate_analytic,0,29120,0.8658653846153846,0.020604395604395604,0.0017513736263736264,0.018853021978021977,0,1.0,0.22664835164835165,0.22664835164835165,0.030942648649215698,0.08738287538290024,0.15414434671401978,0.7016706466674805,0.9754043221473694,1.2256888151168823,22.032752990722656,119.12165832519531,1204.9700927734375,123000.7890625,11.93785285949707,11.831640243530273,16.335033416748047,19.96959686279297
3,qk_per_group_g4_coordinate_analytic,4,29120,0.8658653846153846,0.01775412087912088,0.0013736263736263737,0.016380494505494506,0,1.0,0.1128434065934066,0.1128434065934066,0.013952255249023438,0.04303312301635742,0.08158464729785919,0.31440818309783936,0.35794004797935486,0.4961205720901489,21.487031936645508,120.08847045898438,1316.214599609375,229915836416.0,11.93785285949707,11.831640243530273,16.335033416748047,19.96959686279297
4,k_only_per_group_g16_coordinate_analytic,16,29120,0.8658653846153846,0.020226648351648353,0.0020604395604395605,0.018166208791208793,0,1.0,0.10398351648351649,0.10398351648351649,0.026001453399658203,0.06315507739782333,0.0987320989370346,0.22726191580295563,0.3373247981071472,0.4091881215572357,9.1613130569458,46.15361022949219,469.7562255859375,973429.1875,9.922460556030273,9.236227035522461,14.804672241210938,17.891225814819336
