layer,strategy,group_size,quantized_side,certificate_type,valid_tiles,actual_sparsity,naive_mismatch_rate,false_drop_rate,false_keep_rate,refinement_rate,certimask_exact_match_rate,certificate_violations,bound_p50,bound_p90,bound_p99,margin_over_bound_p50,margin_over_bound_p90,score_error_p50,score_error_p90,score_error_p99,rho_p50,rho_p90,rho_p99,rho_max,refinement_reduction_vs_baseline,naive_mismatch_reduction_vs_baseline
3,qk_per_group_g32_coordinate_analytic,32,qk,analytic,29120,0.8658653846153846,0.01933379120879121,0.002438186813186813,0.016895604395604395,0.21978021978021978,1.0,0,0.705956220626831,0.836373507976532,1.0359489917755127,2.642284870147705,7.281157493591309,0.031290531158447266,0.07780255377292633,0.1274218112230301,22.243114471435547,119.51996612548828,1149.6766357421875,394140.0,0.06219093406593407,0.00353708791208791
3,qk_per_group_g16_coordinate_analytic,16,qk,analytic,29120,0.8658653846153846,0.016929945054945054,0.0015796703296703297,0.015350274725274725,0.16383928571428572,1.0,0,0.49575722217559814,0.5582575798034668,0.7449887990951538,3.8345110416412354,10.54123306274414,0.021856307983398438,0.0565248467028141,0.10047923028469086,21.874286651611328,114.35372924804688,1085.61572265625,580144.125,0.11813186813186813,0.005940934065934066
3,qk_per_group_g8_coordinate_analytic,8,qk,analytic,29120,0.8658653846153846,0.01823489010989011,0.0016483516483516484,0.01658653846153846,0.13392857142857142,1.0,0,0.3941813111305237,0.443042129278183,0.6216951608657837,4.889960765838623,13.601892471313477,0.016435623168945312,0.04827384650707245,0.0935126468539238,22.31441307067871,121.10877990722656,1178.941162109375,158937.375,0.14804258241758242,0.004635989010989008
3,qk_per_group_g4_coordinate_analytic,4,qk,analytic,29120,0.8658653846153846,0.01775412087912088,0.0013736263736263737,0.016380494505494506,0.1128434065934066,1.0,0,0.31440818309783936,0.35794004797935486,0.4961205720901489,6.046395301818848,16.535995483398438,0.013952255249023438,0.04303312301635742,0.08158464729785919,21.487031936645508,120.08847045898438,1316.214599609375,229915836416.0,0.16912774725274726,0.005116758241758241
3,k_only_per_vector_coordinate_analytic,0,k_only,analytic,29120,0.8658653846153846,0.020604395604395604,0.0017513736263736264,0.018853021978021977,0.22664835164835165,1.0,0,0.7016706466674805,0.9754043221473694,1.2256888151168823,2.5598669052124023,8.565390586853027,0.030942648649215698,0.08738287538290024,0.15414434671401978,22.032752990722656,119.12165832519531,1204.9700927734375,123000.7890625,0.055322802197802196,0.0022664835164835154
3,k_only_per_group_g16_coordinate_analytic,16,k_only,analytic,29120,0.8658653846153846,0.015350274725274725,0.0007898351648351648,0.01456043956043956,0.0902815934065934,1.0,0,0.221336230635643,0.2786216139793396,0.35215067863464355,8.348134994506836,23.9121036529541,0.01316976547241211,0.03434703126549721,0.06784319132566452,16.554183959960938,89.73948669433594,804.694091796875,268913.6875,0.19168956043956042,0.007520604395604395
3,k_only_per_group_g8_coordinate_analytic,8,k_only,analytic,29120,0.8658653846153846,0.015796703296703296,0.0006524725274725274,0.01514423076923077,0.07441620879120879,1.0,0,0.16615736484527588,0.19645334780216217,0.2577669620513916,11.241371154785156,31.27886390686035,0.009157180786132812,0.027879714965820312,0.05878766253590584,17.398412704467773,96.93679809570312,1022.4561767578125,189214.75,0.20755494505494504,0.007074175824175823
3,k_only_per_group_g4_coordinate_analytic,4,k_only,analytic,29120,0.8658653846153846,0.01514423076923077,0.00034340659340659343,0.014800824175824175,0.06559065934065934,1.0,0,0.13497865200042725,0.16611596941947937,0.22003379464149475,13.726768493652344,37.581844329833984,0.007194042205810547,0.022599922493100166,0.04970856383442879,18.30927276611328,103.68829345703125,1067.13330078125,116187029504.0,0.21638049450549451,0.00772664835164835
4,baseline_per_vector_qk_coordinate_analytic,0,qk,analytic,29120,0.8658653846153846,0.025789835164835163,0.003502747252747253,0.022287087912087913,0.35120192307692305,1.0,0,1.1152639389038086,1.3091316223144531,1.4809578657150269,1.4371306896209717,3.867117404937744,0.0683736801147461,0.17033757269382477,0.2748884856700897,15.541685104370117,85.60060119628906,831.687255859375,201804.265625,0.0,0.0
4,qk_per_group_g32_coordinate_analytic,32,qk,analytic,29120,0.8658653846153846,0.022184065934065935,0.0034684065934065932,0.01871565934065934,0.24718406593406594,1.0,0,0.7107011079788208,1.020335078239441,1.1745582818984985,2.0770392417907715,6.3353095054626465,0.04420971870422363,0.1118287518620491,0.18524877727031708,16.271081924438477,88.89712524414062,883.93408203125,390806.8125,0.1040178571428571,0.0036057692307692284
4,qk_per_group_g16_coordinate_analytic,16,qk,analytic,29120,0.8658653846153846,0.022287087912087913,0.002815934065934066,0.019471153846153846,0.190521978021978,1.0,0,0.48711252212524414,0.7824555039405823,0.8708932995796204,2.803269386291504,9.743851661682129,0.0363311767578125,0.0922267884016037,0.16166043281555176,14.013992309570312,74.52584838867188,812.4788208007812,112615.90625,0.16067994505494504,0.0035027472527472507
4,qk_per_group_g8_coordinate_analytic,8,qk,analytic,29120,0.8658653846153846,0.021188186813186814,0.0019917582417582416,0.019196428571428573,0.1383585164835165,1.0,0,0.3199872672557831,0.49914905428886414,0.6524897813796997,4.323733806610107,16.361780166625977,0.015413343906402588,0.057645782828330994,0.11755598336458206,20.384422302246094,107.91399383544922,1158.86328125,91328.6484375,0.21284340659340656,0.004601648351648349
4,qk_per_group_g4_coordinate_analytic,4,qk,analytic,29120,0.8658653846153846,0.02036401098901099,0.001820054945054945,0.018543956043956044,0.11555631868131869,1.0,0,0.25155287981033325,0.4077199399471283,0.5398513078689575,5.384557723999023,20.519153594970703,0.01050424575805664,0.054523564875125885,0.10969622433185577,23.211910247802734,136.99688720703125,1403.472412109375,250957791232.0,0.23564560439560436,0.005425824175824174
4,k_only_per_vector_coordinate_analytic,0,k_only,analytic,29120,0.8658653846153846,0.02400412087912088,0.0027815934065934067,0.021222527472527473,0.3051510989010989,1.0,0,1.0068573951721191,1.1965241432189941,1.2552951574325562,1.6461403369903564,4.214814186096191,0.04742187261581421,0.10668697208166122,0.15411776304244995,19.776039123535156,101.69396209716797,1064.9112548828125,1203525255168.0,0.04605082417582412,0.0017857142857142828
4,k_only_per_group_g16_coordinate_analytic,16,k_only,analytic,29120,0.8658653846153846,0.020226648351648353,0.0020604395604395605,0.018166208791208793,0.10398351648351649,1.0,0,0.22726191580295563,0.3373247981071472,0.4091881215572357,6.022566795349121,22.146883010864258,0.026001453399658203,0.06315507739782333,0.0987320989370346,9.1613130569458,46.15361022949219,469.7562255859375,973429.1875,0.24721840659340655,0.005563186813186811
4,k_only_per_group_g8_coordinate_analytic,8,k_only,analytic,29120,0.8658653846153846,0.020054945054945057,0.0012706043956043956,0.01878434065934066,0.08083791208791209,1.0,0,0.15371444821357727,0.22812382876873016,0.2824942469596863,9.258329391479492,34.43309783935547,0.009501084685325623,0.035119153559207916,0.06770365685224533,15.634346008300781,84.92549896240234,857.2208251953125,129906401280.0,0.27036401098901097,0.005734890109890107
4,k_only_per_group_g4_coordinate_analytic,4,k_only,analytic,29120,0.8658653846153846,0.017788461538461538,0.0013049450549450549,0.016483516483516484,0.06981456043956044,1.0,0,0.12019520998001099,0.18268345296382904,0.24402490258216858,11.524275779724121,41.8706169128418,0.007160186767578125,0.03226473182439804,0.06438259780406952,16.614824295043945,93.36878967285156,916.015380859375,122295771136.0,0.28138736263736264,0.008001373626373626
5,baseline_per_vector_qk_coordinate_analytic,0,qk,analytic,29120,0.8658653846153846,0.02956730769230769,0.0057692307692307696,0.023798076923076922,0.4434065934065934,1.0,0,0.9566721320152283,1.1387220621109009,1.2499752044677734,1.1485600471496582,2.9141199588775635,0.05555438995361328,0.13707490265369415,0.2139768898487091,16.60186767578125,87.3731689453125,922.6751098632812,513192.46875,0.0,0.0
