layer,target_sparsity,mask_type,oracle_gap_mass,oracle_gap_l2,improvement_over_mean_pooled_mass,improvement_over_mean_pooled_l2
12,0.3,mean_pooled_score,0.11130338907241821,0.18027068860828876,0.8666261434555054,-0.2042524367570877
12,0.3,oracle_block_mass,0.022070467472076416,0.023981748148798943,0.9779295325279236,-0.023981748148798943
12,0.3,aglr_antidiagonal_logsumexp,0.001523435115814209,0.0013789087533950806,0.109779953956604,0.17889177985489368
12,0.3,aglr_antidiagonal_topk_mean,0.0023831725120544434,0.002340223640203476,0.10892021656036377,0.1779304649680853
12,0.4,mean_pooled_score,0.14612823724746704,0.2474377639591694,0.8157602548599243,-0.2865808308124542
12,0.4,oracle_block_mass,0.03811150789260864,0.039143066853284836,0.9618884921073914,-0.039143066853284836
12,0.4,aglr_antidiagonal_logsumexp,0.008707821369171143,0.01359415054321289,0.1374204158782959,0.2338436134159565
12,0.4,aglr_antidiagonal_topk_mean,0.009632706642150879,0.014930345118045807,0.13649553060531616,0.23250741884112358
12,0.5,mean_pooled_score,0.1772581934928894,0.29128847271203995,0.7590731382369995,-0.35680899024009705
12,0.5,oracle_block_mass,0.06366866827011108,0.0655205175280571,0.9363313317298889,-0.0655205175280571
12,0.5,aglr_antidiagonal_logsumexp,0.010792970657348633,0.016627676784992218,0.16646522283554077,0.27466079592704773
12,0.5,aglr_antidiagonal_topk_mean,0.01194906234741211,0.01822705566883087,0.1653091311454773,0.2730614170432091
12,0.6,mean_pooled_score,0.20435988903045654,0.34245242923498154,0.7070689797401428,-0.42994433641433716
12,0.6,oracle_block_mass,0.08857113122940063,0.08749190717935562,0.9114288687705994,-0.08749190717935562
12,0.6,aglr_antidiagonal_logsumexp,0.014741003513336182,0.02444973587989807,0.18961888551712036,0.31800269335508347
12,0.6,aglr_antidiagonal_topk_mean,0.018517017364501953,0.030679285526275635,0.1858428716659546,0.3117731437087059
13,0.3,mean_pooled_score,0.10282033681869507,0.2230036398395896,0.8866654634475708,-0.23743334412574768
13,0.3,oracle_block_mass,0.01051419973373413,0.014429704286158085,0.9894858002662659,-0.014429704286158085
13,0.3,aglr_antidiagonal_logsumexp,0.002780437469482422,0.0037139849737286568,0.10003989934921265,0.21928965486586094
13,0.3,aglr_antidiagonal_topk_mean,0.004573464393615723,0.0069917915388941765,0.09824687242507935,0.21601184830069542
13,0.4,mean_pooled_score,0.13650768995285034,0.3034674245864153,0.8436427116394043,-0.3293326199054718
13,0.4,oracle_block_mass,0.01984959840774536,0.02586519531905651,0.9801504015922546,-0.02586519531905651
13,0.4,aglr_antidiagonal_logsumexp,0.013895690441131592,0.03842477686703205,0.12261199951171875,0.26504264771938324
13,0.4,aglr_antidiagonal_topk_mean,0.018007755279541016,0.04518796689808369,0.11849993467330933,0.2582794576883316
13,0.5,mean_pooled_score,0.17374694347381592,0.34487078338861465,0.7898527979850769,-0.3918035626411438
13,0.5,oracle_block_mass,0.03640025854110718,0.046932779252529144,0.9635997414588928,-0.046932779252529144
13,0.5,aglr_antidiagonal_logsumexp,0.023510634899139404,0.06056620925664902,0.1502363085746765,0.28430457413196564
13,0.5,aglr_antidiagonal_topk_mean,0.03219646215438843,0.07488351315259933,0.1415504813194275,0.2699872702360153
13,0.6,mean_pooled_score,0.19824010133743286,0.38708873093128204,0.7472936511039734,-0.45175665616989136
13,0.6,oracle_block_mass,0.05446624755859375,0.06466792523860931,0.9455337524414062,-0.06466792523860931
13,0.6,aglr_antidiagonal_logsumexp,0.037110865116119385,0.08965674042701721,0.16112923622131348,0.29743199050426483
13,0.6,aglr_antidiagonal_topk_mean,0.053892314434051514,0.12411205470561981,0.14434778690338135,0.26297667622566223
16,0.3,mean_pooled_score,0.09613639116287231,0.7019651625305414,0.9016266465187073,-0.7117188572883606
16,0.3,oracle_block_mass,0.00223696231842041,0.009753694757819176,0.9977630376815796,-0.009753694757819176
16,0.3,aglr_antidiagonal_logsumexp,0.0008356571197509766,0.004033376462757587,0.09530073404312134,0.6979317860677838
16,0.3,aglr_antidiagonal_topk_mean,0.000820457935333252,0.003996456041932106,0.09531593322753906,0.6979687064886093
16,0.4,mean_pooled_score,0.1383407711982727,1.1448158584535122,0.8571652173995972,-1.1630271673202515
