layer,target_sparsity,mask_type,sample_pattern,aggregation,actual_tile_sparsity,attention_tile_work_fraction,kept_attention_mass_mean,kept_attention_mass_p50,kept_attention_mass_p90,dropped_attention_mass_mean,output_l2_relative_mean,output_l2_relative_p90,output_cosine_mean,output_cosine_p10,prob_l1_mean,prob_kl_mean,token_mask_sparsity,strict_quality_pass,practical_quality_pass,strong_quality_pass,oracle_gap_mass,oracle_gap_l2,improvement_over_mean_pooled_mass,improvement_over_mean_pooled_l2
13,0.6,oracle_block_mass,none,none,0.5875,0.4125,0.9455337524414062,0.9739161133766174,0.9981271028518677,0.05446626618504524,0.06466792523860931,0.1633923351764679,0.9909453988075256,0.9884846806526184,0.10893253237009048,1.138586401939392,0.7951867239815849,True,True,False,0.05446624755859375,0.06466792523860931,0.9455337524414062,-0.06466792523860931
13,0.6,aglr_antidiagonal_logsumexp,both_diagonals,logsumexp,0.5870192307692308,0.4129807692307692,0.9084228873252869,0.9661128520965576,0.9981613159179688,0.09157706797122955,0.15432466566562653,0.23415419459342957,0.9757221341133118,0.9800925254821777,0.1831541806459427,2.074812412261963,0.797607421875,True,True,False,0.037110865116119385,0.08965674042701721,0.16112923622131348,0.29743199050426483
13,0.6,aglr_antidiagonal_topk_mean,both_diagonals,topk_mean,0.5870192307692308,0.4129807692307692,0.8916414380073547,0.9620769023895264,0.998145341873169,0.10835858434438705,0.18877997994422913,0.3583528995513916,0.9749102592468262,0.9777170419692993,0.2167171686887741,2.5129473209381104,0.797607421875,False,False,False,0.053892314434051514,0.12411205470561981,0.14434778690338135,0.26297667622566223
16,0.3,dense,none,none,0.0,1.0,1.0,1.0,1.000000238418579,-2.1042069420218468e-08,0.0,0.0,1.0,0.9999998807907104,0.0,0.0,0.49951171875,False,False,False,-0.00223696231842041,-0.009753694757819176,1.0,0.0
16,0.3,mean_pooled_score,none,none,0.31682692307692306,0.6831730769230769,0.9016266465187073,0.9995536804199219,0.9999982118606567,0.09837331622838974,0.7117188572883606,0.8796756863594055,0.9486874938011169,0.9685351252555847,0.18112167716026306,2.6261146068573,0.6601878574916294,False,False,False,0.09613639116287231,0.7019651625305414,0.9016266465187073,-0.7117188572883606
16,0.3,oracle_block_mass,none,none,0.2860576923076923,0.7139423076923077,0.9977630376815796,0.9999117851257324,0.9999998807907104,0.002236881759017706,0.009753694757819176,0.02074839361011982,0.9993535280227661,0.9998157024383545,0.0044737993739545345,0.043648283928632736,0.6444320678710938,False,False,False,0.00223696231842041,0.009753694757819176,0.9977630376815796,-0.009753694757819176
16,0.3,aglr_antidiagonal_logsumexp,both_diagonals,logsumexp,0.2860576923076923,0.7139423076923077,0.9969273805618286,0.999877393245697,0.9999998807907104,0.003072648774832487,0.013787071220576763,0.02706035040318966,0.9984679818153381,0.9996851682662964,0.006145335268229246,0.061952102929353714,0.644775390625,False,False,False,0.0008356571197509766,0.004033376462757587,0.09530073404312134,0.6979317860677838
16,0.3,aglr_antidiagonal_topk_mean,both_diagonals,topk_mean,0.2860576923076923,0.7139423076923077,0.9969425797462463,0.9998797178268433,0.9999998807907104,0.0030574772972613573,0.013750150799751282,0.02606302499771118,0.998458981513977,0.9997072219848633,0.0061149923130869865,0.06181049719452858,0.644775390625,False,False,False,0.000820457935333252,0.003996456041932106,0.09531593322753906,0.6979687064886093
16,0.4,dense,none,none,0.0,1.0,1.0,1.0,1.000000238418579,-2.1042069420218468e-08,0.0,0.0,1.0,0.9999998807907104,0.0,0.0,0.49951171875,False,False,False,-0.004494011402130127,-0.018211308866739273,1.0,0.0
16,0.4,mean_pooled_score,none,none,0.4182692307692307,0.5817307692307693,0.8571652173995972,0.9987164735794067,0.9999911785125732,0.14283475279808044,1.1630271673202515,2.1424665451049805,0.9250892996788025,0.8761614561080933,0.2700445055961609,3.8103888034820557,0.7115216936383928,False,False,False,0.1383407711982727,1.1448158584535122,0.8571652173995972,-1.1630271673202515
16,0.4,oracle_block_mass,none,none,0.38605769230769227,0.6139423076923077,0.9955059885978699,0.9997153878211975,0.9999990463256836,0.004493921995162964,0.018211308866739273,0.04184148460626602,0.9980711340904236,0.9992585182189941,0.00898787658661604,0.08943966776132584,0.6948699951171875,False,False,False,0.004494011402130127,0.018211308866739273,0.9955059885978699,-0.018211308866739273
16,0.4,aglr_antidiagonal_logsumexp,both_diagonals,logsumexp,0.38605769230769227,0.6139423076923077,0.9807547330856323,0.9996062517166138,0.9999987483024597,0.019245343282818794,0.1967923492193222,0.0613027885556221,0.9866296052932739,0.998432457447052,0.038490716367959976,0.4856110215187073,0.695556640625,False,False,False,0.014751255512237549,0.17858104035258293,0.12358951568603516,0.9662348181009293
16,0.4,aglr_antidiagonal_topk_mean,both_diagonals,topk_mean,0.38605769230769227,0.6139423076923077,0.9804466962814331,0.9995852708816528,0.9999988079071045,0.01955336332321167,0.19720016419887543,0.05981854721903801,0.9865443110466003,0.9985486268997192,0.039106763899326324,0.4939609467983246,0.695556640625,False,False,False,0.015059292316436768,0.17898885533213615,0.12328147888183594,0.965827003121376
