layer,block_size,target_sparsity,mask_type,actual_tile_sparsity,token_mask_sparsity,kept_attention_mass_mean,kept_attention_mass_p50,kept_attention_mass_p90,kept_attention_mass_p99,dropped_attention_mass_mean,output_l2_relative_mean,output_l2_relative_p90,output_cosine_mean,output_cosine_p10,prob_l1_mean,prob_l1_p90,prob_kl_mean,prob_kl_p90
12,16,0.85,random,0.8509199134199135,0.9231305803571429,0.0770292729139328,0.0,0.24539469182491302,1.0,0.9229707717895508,0.9396189451217651,1.0,0.0981367900967598,0.0,0.9716389775276184,1.0000001192092896,22.84116554260254,26.214540481567383
12,16,0.9,mean_pooled_score,0.9318181818181819,0.96484375,0.03590264543890953,0.0,0.0,1.0,0.9640973806381226,0.9708471894264221,1.0,0.04444235935807228,0.0,0.9845563173294067,1.0000001192092896,23.868661880493164,26.26491928100586
12,16,0.9,oracle_block_mass,0.8712121212121212,0.93359375,0.07371033728122711,0.0,0.10685984790325165,1.0,0.9262896776199341,0.9351083636283875,1.0,0.08751937001943588,0.0,0.9612566828727722,1.0000001192092896,22.922487258911133,26.20429039001465
12,16,0.9,local_window,0.8238636363636364,0.9091796875,0.09265276044607162,0.0,0.24691790342330933,1.0000001192092896,0.9073472023010254,0.9135180115699768,1.0,0.09977985918521881,0.0,0.9221163392066956,1.0000001192092896,22.45648193359375,26.177427291870117
12,16,0.9,random,0.8994859307359307,0.9481724330357143,0.05138605460524559,0.0,0.0,0.9999999403953552,0.9486140012741089,0.9603020548820496,1.0,0.06674014776945114,0.0,0.9833048582077026,1.0000001192092896,23.476289749145508,26.23798179626465
12,32,0.0,dense,0.0,0.46875,0.53125,0.9999998807907104,1.0000001192092896,1.000000238418579,0.46875,0.46875,1.0,0.53125,0.0,0.46875,1.0,11.703049659729004,25.75859260559082
12,32,0.5,mean_pooled_score,0.5882352941176471,0.78125,0.21875,0.0,1.0,1.0000001192092896,0.78125,0.78125,1.0,0.21875,0.0,0.78125,1.0000001192092896,19.391855239868164,26.102619171142578
12,32,0.5,oracle_block_mass,0.47058823529411764,0.71875,0.28125,0.0,1.0,1.0000001192092896,0.71875,0.71875,1.0,0.28125,0.0,0.71875,1.0000001192092896,17.839988708496094,25.98998260498047
12,32,0.5,local_window,0.2647058823529411,0.609375,0.390625,0.0,1.0,1.0000001192092896,0.609375,0.609375,1.0,0.390625,0.0,0.609375,1.0000001192092896,15.135642051696777,25.887126922607422
12,32,0.5,random,0.49369747899159666,0.7310267857142857,0.2689732015132904,0.0,1.0,1.0000001192092896,0.7310267686843872,0.7310267686843872,1.0,0.2689732015132904,0.0,0.7310267686843872,1.0000001192092896,18.143877029418945,26.01085090637207
12,32,0.6,mean_pooled_score,0.6691176470588236,0.82421875,0.17578125,0.0,1.0,1.0000001192092896,0.82421875,0.82421875,1.0,0.17578125,0.0,0.82421875,1.0000001192092896,20.444231033325195,26.144588470458984
12,32,0.6,oracle_block_mass,0.5514705882352942,0.76171875,0.23828125,0.0,1.0,1.0000001192092896,0.76171875,0.76171875,1.0,0.23828125,0.0,0.76171875,1.0000001192092896,18.893749237060547,26.028051376342773
12,32,0.6,local_window,0.40441176470588236,0.68359375,0.31640625,0.0,1.0,1.0000001192092896,0.68359375,0.68359375,1.0,0.31640625,0.0,0.68359375,1.0000001192092896,16.95401382446289,25.952526092529297
12,32,0.6,random,0.5919117647058824,0.783203125,0.216796875,0.0,1.0,1.0000001192092896,0.783203125,0.783203125,1.0,0.216796875,0.0,0.783203125,1.0000001192092896,19.427133560180664,26.070926666259766
12,32,0.7,mean_pooled_score,0.7647058823529411,0.875,0.125,0.0,0.9999999403953552,1.0000001192092896,0.875,0.875,1.0,0.125,0.0,0.875,1.0000001192092896,21.692174911499023,26.185625076293945
12,32,0.7,oracle_block_mass,0.6470588235294117,0.8125,0.1875,0.0,1.0,1.0000001192092896,0.8125,0.8125,1.0,0.1875,0.0,0.8125,1.0000001192092896,20.1422119140625,26.089567184448242
12,32,0.7,local_window,0.5735294117647058,0.7734375,0.2265625,0.0,1.0,1.0000001192092896,0.7734375,0.7734375,1.0,0.2265625,0.0,0.7734375,1.0000001192092896,19.157352447509766,26.027385711669922
12,32,0.7,random,0.6938025210084033,0.8373325892857143,0.1626674085855484,0.0,1.0,1.0000001192092896,0.8373326063156128,0.8373326063156128,1.0,0.1626674085855484,0.0,0.8373326063156128,1.0000001192092896,20.76109504699707,26.145401000976562
12,32,0.8,mean_pooled_score,0.8676470588235294,0.9296875,0.0703125,0.0,0.0,1.0000001192092896,0.9296875,0.9296875,1.0,0.0703125,0.0,0.9296875,1.0000001192092896,23.0357608795166,26.234207153320312
12,32,0.8,oracle_block_mass,0.75,0.8671875,0.1328125,0.0,0.9999999403953552,1.0000001192092896,0.8671875,0.8671875,1.0,0.1328125,0.0,0.8671875,1.0000001192092896,21.485401153564453,26.145401000976562
12,32,0.8,local_window,0.6691176470588236,0.82421875,0.17578125,0.0,1.0,1.0000001192092896,0.82421875,0.82421875,1.0,0.17578125,0.0,0.82421875,1.0000001192092896,20.408159255981445,26.10134506225586
12,32,0.8,random,0.7993697478991597,0.8934151785714286,0.1065848246216774,0.0,0.9999998807907104,1.0000001192092896,0.8934151530265808,0.8934151530265808,1.0,0.1065848246216774,0.0,0.8934151530265808,1.0000001192092896,22.13675880432129,26.192880630493164
12,32,0.85,mean_pooled_score,0.9044117647058824,0.94921875,0.05078125,0.0,0.0,1.0000001192092896,0.94921875,0.94921875,1.0,0.05078125,0.0,0.94921875,1.0000001192092896,23.514299392700195,26.25598907470703
12,32,0.85,oracle_block_mass,0.7867647058823529,0.88671875,0.11328125,0.0,0.9999998807907104,1.0000001192092896,0.88671875,0.88671875,1.0,0.11328125,0.0,0.88671875,1.0000001192092896,21.963781356811523,26.15573501586914
12,32,0.85,local_window,0.7720588235294118,0.87890625,0.12109375,0.0,0.9999999403953552,1.0000001192092896,0.87890625,0.87890625,1.0,0.12109375,0.0,0.87890625,1.0000001192092896,21.757761001586914,26.155271530151367
12,32,0.85,random,0.8503151260504201,0.9204799107142857,0.0795200914144516,0.0,0.0,1.0000001192092896,0.9204798936843872,0.9204798936843872,1.0,0.0795200914144516,0.0,0.9204798936843872,1.0000001192092896,22.79859733581543,26.21845245361328
12,32,0.9,mean_pooled_score,0.9558823529411765,0.9765625,0.0234375,0.0,0.0,1.0,0.9765625,0.9765625,1.0,0.0234375,0.0,0.9765625,1.0000001192092896,24.18381118774414,26.28990936279297
12,32,0.9,oracle_block_mass,0.8382352941176471,0.9140625,0.0859375,0.0,0.0,1.0000001192092896,0.9140625,0.9140625,1.0,0.0859375,0.0,0.9140625,1.0000001192092896,22.632951736450195,26.179370880126953
12,32,0.9,local_window,0.8823529411764706,0.9375,0.0625,0.0,0.0,1.0000001192092896,0.9375,0.9375,1.0,0.0625,0.0,0.9375,1.0000001192092896,23.201589584350586,26.201475143432617
12,32,0.9,random,0.9002100840336135,0.9469866071428571,0.0530133917927742,0.0,0.0,1.0000001192092896,0.9469866156578064,0.9469866156578064,1.0,0.0530133917927742,0.0,0.9469866156578064,1.0000001192092896,23.449003219604492,26.244922637939453
23,8,0.0,dense,0.0,0.4921875,0.5399095416069031,0.9999998211860657,1.0000001192092896,1.0000001192092896,0.4600904583930969,0.46215203404426575,1.0,0.552866518497467,0.0,0.48268088698387146,1.0,11.37764835357666,25.661428451538086
23,8,0.5,mean_pooled_score,0.523076923076923,0.7578125,0.26846832036972046,0.0,0.9999933838844299,1.0000001192092896,0.7315316796302795,0.7351341843605042,1.0,0.37318357825279236,0.0,0.9055856466293335,1.4720371961593628,17.888751983642578,26.42521858215332
23,8,0.5,oracle_block_mass,0.49230769230769234,0.7421875,0.30280059576034546,0.0,0.9999933242797852,1.0000001192092896,0.6971993446350098,0.6978551149368286,1.0,0.4160105884075165,0.0,0.8772392272949219,1.4375470876693726,17.022876739501953,26.2249698638916
23,8,0.5,local_window,0.25384615384615383,0.62109375,0.4024937152862549,0.0,1.0,1.0000001192092896,0.5975062251091003,0.5975255966186523,1.0,0.4314947724342346,0.0,0.6442312598228455,1.0000001192092896,14.645605087280273,25.90645980834961
23,8,0.5,random,0.501304945054945,0.7467564174107143,0.2705093324184418,0.002402334474027157,0.8711612820625305,1.0,0.7294906973838806,0.7280169725418091,1.0,0.42704129219055176,0.0,0.9772569537162781,1.6214505434036255,17.776033401489258,26.237592697143555
23,8,0.6,mean_pooled_score,0.6182692307692308,0.80615234375,0.2161947339773178,0.0,0.9240114092826843,1.0000001192092896,0.783805251121521,0.7860949635505676,1.0,0.32168468832969666,0.0,0.9606072306632996,1.4930522441864014,19.149477005004883,26.57691192626953
23,8,0.6,oracle_block_mass,0.5875,0.79052734375,0.2518079876899719,0.0,0.9524826407432556,1.0000001192092896,0.7481920123100281,0.7481557130813599,1.0,0.36774176359176636,0.0,0.9333258867263794,1.481734275817871,18.25029754638672,26.415403366088867
23,8,0.6,local_window,0.375,0.6826171875,0.33701422810554504,0.0,1.0,1.0000001192092896,0.6629858016967773,0.664572536945343,1.0,0.3668000102043152,0.0,0.7126902341842651,1.0000001192092896,16.221757888793945,26.08411407470703
23,8,0.6,random,0.5984546703296703,0.7960902622767857,0.21683740615844727,0.0,0.7437872290611267,1.0,0.7831625938415527,0.7827745676040649,1.0,0.38617223501205444,0.0,1.0585126876831055,1.7543461322784424,19.074689865112305,26.454769134521484
23,8,0.7,mean_pooled_score,0.7168269230769231,0.856201171875,0.16078248620033264,0.0,0.7166149616241455,1.0,0.8392175436019897,0.8364412188529968,1.0,0.26118677854537964,0.0,1.00558340549469,1.4863873720169067,20.49378776550293,26.75168228149414
23,8,0.7,oracle_block_mass,0.6855769230769231,0.84033203125,0.19468338787555695,0.0,0.777382493019104,1.0,0.8053165674209595,0.8086103796958923,1.0,0.31064048409461975,0.0,0.9959568977355957,1.5236585140228271,19.637035369873047,26.616716384887695
23,8,0.7,local_window,0.49759615384615385,0.744873046875,0.27057376503944397,0.0,1.0,1.0000001192092896,0.7294262647628784,0.7321681380271912,1.0,0.3007006049156189,0.0,0.7811180949211121,1.0000001192092896,17.824636459350586,26.229795455932617
