layer,block_size,target_sparsity,local_blocks,aggregation,mask_type,actual_tile_sparsity,attention_tile_work_fraction,kept_attention_mass_mean,output_cosine_mean,output_l2_relative_mean,kept_attention_mass_p50,kept_attention_mass_p90,output_l2_relative_p90,output_cosine_p10,token_mask_sparsity,strict_pass,practical_pass,relaxed_pass,quality_only_pass,oracle_gap_mass,oracle_gap_l2,improvement_over_mean_pooled_mass,improvement_over_mean_pooled_l2
1,8,0.3,1,logsumexp,aglr_antidiagonal,0.29299903100775193,0.7070009689922481,0.9368467926979065,0.9982117414474487,0.03441274166107178,0.9658225178718567,0.9999114274978638,0.08583492040634155,0.9972578287124634,0.64715576171875,False,False,False,True,0.01647782325744629,0.008706500753760338,0.012922048568725586,0.01454899087548256
1,8,0.3,2,logsumexp,aglr_antidiagonal,0.29299903100775193,0.7070009689922481,0.9369710087776184,0.9982608556747437,0.03421104699373245,0.9658771753311157,0.9999114274978638,0.08575141429901123,0.9972608089447021,0.64715576171875,False,False,False,True,0.016353607177734375,0.008504806086421013,0.0130462646484375,0.014750685542821884
1,8,0.3,0,topk_mean,aglr_antidiagonal,0.29299903100775193,0.7070009689922481,0.9407156109809875,0.9982665181159973,0.03304069861769676,0.9676222801208496,0.9999405145645142,0.08414818346500397,0.9974550604820251,0.6471424102783203,False,False,False,True,0.012609004974365234,0.007334457710385323,0.01679086685180664,0.015921033918857574
1,8,0.3,1,topk_mean,aglr_antidiagonal,0.29299903100775193,0.7070009689922481,0.9405930638313293,0.9982648491859436,0.033072274178266525,0.9676222801208496,0.9999405145645142,0.08425045758485794,0.9974445700645447,0.64715576171875,False,False,False,True,0.012731552124023438,0.007366033270955086,0.016668319702148438,0.01588945835828781
1,8,0.3,2,topk_mean,aglr_antidiagonal,0.29299903100775193,0.7070009689922481,0.940738320350647,0.9982928037643433,0.03293653577566147,0.9676222801208496,0.9999405145645142,0.08411263674497604,0.9974550604820251,0.64715576171875,False,False,False,True,0.01258629560470581,0.007230294868350029,0.016813576221466064,0.016025196760892868
1,8,0.5,0,none,oracle_block_mass,0.49612403100775193,0.5038759689922481,0.8908683657646179,0.995599091053009,0.059467293322086334,0.9233220815658569,0.9996693134307861,0.14956049621105194,0.9935081601142883,0.7493686676025391,False,False,True,False,0.10913163423538208,0.059467293322086334,0.8908683657646179,-0.059467293322086334
1,8,0.5,0,none,mean_pooled_score,0.5116365586932448,0.48836344130675524,0.8520368933677673,0.9775252342224121,0.09093228727579117,0.9020286202430725,0.9995121359825134,0.2045072317123413,0.9876381754875183,0.757214137486049,False,False,True,False,0.038831472396850586,0.031464993953704834,0.8520368933677673,-0.09093228727579117
1,8,0.5,0,logsumexp,aglr_antidiagonal,0.49612403100775193,0.5038759689922481,0.8645952939987183,0.9933867454528809,0.0756295844912529,0.9065954685211182,0.9991908073425293,0.1851545125246048,0.9895484447479248,0.7494621276855469,False,False,True,False,0.026273071765899658,0.016162291169166565,0.012558400630950928,0.015302702784538269
1,8,0.5,1,logsumexp,aglr_antidiagonal,0.49612403100775193,0.5038759689922481,0.8641396164894104,0.9935146570205688,0.07614372670650482,0.9066976308822632,0.9991921186447144,0.18602591753005981,0.9894767999649048,0.74951171875,False,False,True,False,0.02672874927520752,0.016676433384418488,0.012102723121643066,0.014788560569286346
1,8,0.5,2,logsumexp,aglr_antidiagonal,0.4960029069767442,0.5039970930232558,0.8680620193481445,0.9944285154342651,0.07126255333423615,0.9097613096237183,0.9993188381195068,0.17965452373027802,0.9904860258102417,0.74945068359375,False,False,True,False,0.02280634641647339,0.01179526001214981,0.016025125980377197,0.019669733941555023
1,8,0.5,0,topk_mean,aglr_antidiagonal,0.49612403100775193,0.5038759689922481,0.8712989687919617,0.9939122796058655,0.07216515392065048,0.9120030403137207,0.9993616342544556,0.17795753479003906,0.9906691908836365,0.7494716644287109,False,False,True,False,0.01956939697265625,0.012697860598564148,0.019262075424194336,0.018767133355140686
1,8,0.5,1,topk_mean,aglr_antidiagonal,0.49612403100775193,0.5038759689922481,0.8702762722969055,0.993729829788208,0.07293112576007843,0.911949098110199,0.9993616342544556,0.17972701787948608,0.990333080291748,0.74951171875,False,False,True,False,0.020592093467712402,0.013463832437992096,0.018239378929138184,0.018001161515712738
1,8,0.5,2,topk_mean,aglr_antidiagonal,0.4960029069767442,0.5039970930232558,0.8736658096313477,0.9945592880249023,0.06847523897886276,0.9145941734313965,0.9994800090789795,0.17410936951637268,0.9909796714782715,0.74945068359375,False,False,True,False,0.017202556133270264,0.009007945656776428,0.021628916263580322,0.022457048296928406
1,8,0.65,0,none,oracle_block_mass,0.642562984496124,0.35743701550387597,0.8359060883522034,0.992845356464386,0.08970505744218826,0.8716922998428345,0.9989125728607178,0.23532259464263916,0.986151397228241,0.8231220245361328,False,False,False,False,0.16409391164779663,0.08970505744218826,0.8359060883522034,-0.08970505744218826
1,8,0.65,0,none,mean_pooled_score,0.6580668604651163,0.34193313953488375,0.7920194268226624,0.973107635974884,0.1279381811618805,0.8412889242172241,0.9983272552490234,0.3123150169849396,0.9745302200317383,0.8309764862060547,False,False,False,False,0.043886661529541016,0.03823312371969223,0.7920194268226624,-0.1279381811618805
1,8,0.65,0,logsumexp,aglr_antidiagonal,0.642562984496124,0.35743701550387597,0.8058165907859802,0.9894943833351135,0.1108708530664444,0.8476203680038452,0.9976807832717896,0.28553807735443115,0.9782276749610901,0.8232154846191406,False,False,False,False,0.030089497566223145,0.021165795624256134,0.013797163963317871,0.017067328095436096
1,8,0.65,1,logsumexp,aglr_antidiagonal,0.642562984496124,0.35743701550387597,0.805286169052124,0.9896107912063599,0.11144262552261353,0.8476203680038452,0.9976845979690552,0.28652915358543396,0.9780565500259399,0.82330322265625,False,False,False,False,0.030619919300079346,0.021737568080425262,0.01326674222946167,0.016495555639266968
1,8,0.65,2,logsumexp,aglr_antidiagonal,0.6424418604651163,0.35755813953488375,0.8093712329864502,0.9905127286911011,0.10622883588075638,0.8515275120735168,0.9980067014694214,0.2759157419204712,0.9794589281082153,0.8232421875,False,False,False,False,0.026534855365753174,0.016523778438568115,0.017351806163787842,0.021709345281124115
1,8,0.65,0,topk_mean,aglr_antidiagonal,0.642562984496124,0.35743701550387597,0.8139817118644714,0.9901261329650879,0.10576563328504562,0.8548070192337036,0.998033881187439,0.27234947681427,0.9801832437515259,0.8232479095458984,False,False,False,False,0.021924376487731934,0.01606057584285736,0.021962285041809082,0.02217254787683487
1,8,0.65,1,topk_mean,aglr_antidiagonal,0.642562984496124,0.35743701550387597,0.8127548694610596,0.989917516708374,0.10665914416313171,0.8547011017799377,0.998033881187439,0.2738072872161865,0.979887068271637,0.82330322265625,False,False,False,False,0.0231512188911438,0.01695408672094345,0.020735442638397217,0.02127903699874878
1,8,0.65,2,topk_mean,aglr_antidiagonal,0.6424418604651163,0.35755813953488375,0.8160974383354187,0.9907789826393127,0.10200341045856476,0.8587711453437805,0.9983411431312561,0.2674757242202759,0.9808698892593384,0.8232421875,False,False,False,False,0.019808650016784668,0.012298353016376495,0.024078011512756348,0.025934770703315735
1,8,0.7,0,none,oracle_block_mass,0.6925872093023255,0.3074127906976744,0.8092637658119202,0.9905551075935364,0.10778812319040298,0.8458576798439026,0.9983770251274109,0.28010931611061096,0.9809128642082214,0.848297119140625,False,False,False,False,0.19073623418807983,0.10778812319040298,0.8092637658119202,-0.10778812319040298
1,8,0.7,0,none,mean_pooled_score,0.7084544573643411,0.2915455426356589,0.7606779336929321,0.9633679389953613,0.15153288841247559,0.811191976070404,0.9975597858428955,0.3865417242050171,0.9650796055793762,0.8563308715820312,False,False,False,False,0.04858583211898804,0.0437447652220726,0.7606779336929321,-0.15153288841247559
1,8,0.7,0,logsumexp,aglr_antidiagonal,0.6925872093023255,0.3074127906976744,0.7780905961990356,0.9859868288040161,0.13267776370048523,0.8188122510910034,0.9966737627983093,0.34216320514678955,0.9706843495368958,0.8483924865722656,False,False,False,False,0.03117316961288452,0.024889640510082245,0.017412662506103516,0.018855124711990356
1,8,0.7,1,logsumexp,aglr_antidiagonal,0.6925872093023255,0.3074127906976744,0.7774293422698975,0.9863021969795227,0.13315728306770325,0.8189884424209595,0.9966752529144287,0.34318286180496216,0.9703691005706787,0.8485107421875,False,False,False,False,0.031834423542022705,0.025369159877300262,0.016751408576965332,0.01837560534477234
1,8,0.7,2,logsumexp,aglr_antidiagonal,0.6923449612403101,0.3076550387596899,0.7838559746742249,0.9879390597343445,0.1247703805565834,0.8254141807556152,0.9971610307693481,0.3268206715583801,0.9730289578437805,0.848388671875,False,False,False,False,0.025407791137695312,0.01698225736618042,0.023178040981292725,0.02676250785589218
