layer,block_size,target_sparsity,local_blocks,aggregation,mask_type,actual_tile_sparsity,attention_tile_work_fraction,kept_attention_mass_mean,output_cosine_mean,output_l2_relative_mean,kept_attention_mass_p50,kept_attention_mass_p90,output_l2_relative_p90,output_cosine_p10,token_mask_sparsity,strict_pass,practical_pass,relaxed_pass,quality_only_pass,oracle_gap_mass,oracle_gap_l2,improvement_over_mean_pooled_mass,improvement_over_mean_pooled_l2,frontier_rank
5,8,0.7,0,topk_mean,aglr_antidiagonal,0.6925872093023255,0.3074127906976744,0.8417946696281433,0.9673500657081604,0.20807020366191864,0.8981380462646484,0.9947454929351807,0.42949962615966797,0.9156250953674316,0.84814453125,False,False,False,False,0.017492949962615967,0.03365606069564819,0.11388087272644043,0.2824084907770157,5
5,8,0.75,0,logsumexp,aglr_antidiagonal,0.7441860465116279,0.2558139534883721,0.8162864446640015,0.9545326232910156,0.24437271058559418,0.8781090974807739,0.9934285879135132,0.5058630704879761,0.8806723356246948,0.8740291595458984,False,False,False,False,0.01895308494567871,0.03685198724269867,0.13867086172103882,0.3486318141222,6
8,8,0.3,2,topk_mean,aglr_antidiagonal,0.29299903100775193,0.7070009689922481,0.9855124354362488,0.9991530179977417,0.013154958374798298,0.9997404217720032,0.9999992847442627,0.03190818801522255,0.999602735042572,0.64715576171875,False,False,False,True,0.005607247352600098,0.004998292773962021,0.02766197919845581,0.046083337627351284,0
8,8,0.5,0,topk_mean,aglr_antidiagonal,0.49612403100775193,0.5038759689922481,0.959594190120697,0.9943898320198059,0.04032282158732414,0.9986798167228699,0.9999863505363464,0.11242754757404327,0.9952152967453003,0.7494850158691406,False,True,True,True,0.014080405235290527,0.014198364689946175,0.05271798372268677,0.09223759546875954,1
8,8,0.5,2,topk_mean,aglr_antidiagonal,0.4960029069767442,0.5039970930232558,0.9607444405555725,0.9964650869369507,0.0390651561319828,0.9987419247627258,0.9999910593032837,0.10477251559495926,0.996006190776825,0.74945068359375,False,True,True,True,0.012930154800415039,0.012940699234604836,0.053868234157562256,0.09349526092410088,2
8,8,0.65,0,topk_mean,aglr_antidiagonal,0.642562984496124,0.35743701550387597,0.9362853765487671,0.9915933012962341,0.060466866940259933,0.9968340396881104,0.9999633431434631,0.18080371618270874,0.9886165261268616,0.8232498168945312,True,True,True,True,0.021503925323486328,0.022748664021492004,0.07703977823257446,0.14277559891343117,3
8,8,0.65,2,topk_mean,aglr_antidiagonal,0.6424418604651163,0.35755813953488375,0.9365049004554749,0.9941625595092773,0.0606180764734745,0.9969630241394043,0.9999749660491943,0.17402920126914978,0.9894424676895142,0.8232421875,True,True,True,True,0.021284401416778564,0.022899873554706573,0.07725930213928223,0.1426243893802166,4
8,8,0.7,0,logsumexp,aglr_antidiagonal,0.6925872093023255,0.3074127906976744,0.9192646741867065,0.9860434532165527,0.07664130628108978,0.9956033229827881,0.9999674558639526,0.2403019666671753,0.9802441596984863,0.8484020233154297,True,True,True,True,0.027715623378753662,0.027157701551914215,0.08799010515213013,0.16230374574661255,5
8,8,0.7,2,logsumexp,aglr_antidiagonal,0.6923449612403101,0.3076550387596899,0.9215582609176636,0.9913231730461121,0.07613824307918549,0.9958071708679199,0.9999768137931824,0.22329187393188477,0.983904242515564,0.848388671875,True,True,True,True,0.02542203664779663,0.026654638350009918,0.09028369188308716,0.16280680894851685,6
8,8,0.7,0,topk_mean,aglr_antidiagonal,0.6925872093023255,0.3074127906976744,0.9214563965797424,0.9881858825683594,0.08057156950235367,0.9956581592559814,0.9999513626098633,0.2302527129650116,0.982663631439209,0.8484420776367188,True,True,True,True,0.025523900985717773,0.0310879647731781,0.09018182754516602,0.15837348252534866,7
8,8,0.7,2,topk_mean,aglr_antidiagonal,0.6923449612403101,0.3076550387596899,0.9232636094093323,0.9918276071548462,0.07667730003595352,0.9958372712135315,0.9999650716781616,0.2162526398897171,0.9848288297653198,0.848388671875,True,True,True,True,0.02371668815612793,0.027193695306777954,0.09198904037475586,0.1622677519917488,8
8,8,0.75,0,logsumexp,aglr_antidiagonal,0.7441860465116279,0.2558139534883721,0.9032596945762634,0.9813488721847534,0.09436187893152237,0.9938930869102478,0.9999539852142334,0.2964874505996704,0.972342312335968,0.8743610382080078,True,True,True,True,0.03040182590484619,0.030320629477500916,0.10210412740707397,0.1843225583434105,9
8,8,0.75,2,logsumexp,aglr_antidiagonal,0.7438226744186047,0.25617732558139533,0.9055250287055969,0.9883441925048828,0.09420894086360931,0.9941177368164062,0.9999670386314392,0.2846302390098572,0.9760823249816895,0.87432861328125,True,True,True,True,0.028136491775512695,0.03016769140958786,0.10436946153640747,0.18447549641132355,10
